t = 0.292; x1 = 0.164383; x2 = 0.0206288
t = 0.294; x1 = 0.163047; x2 = 0.0204685
t = 0.296; x1 = 0.161728; x2 = 0.0203102
t = 0.298; x1 = 0.160425; x2 = 0.0201537
t = 0.3; x1 = 0.159138; x2 = 0.0199992
t = 0.302; x1 = 0.157867; x2 = 0.0198465
t = 0.304; x1 = 0.156612; x2 = 0.0196955
t = 0.306; x1 = 0.155372; x2 = 0.0195464
t = 0.308; x1 = 0.154146; x2 = 0.019399
t = 0.31; x1 = 0.152936; x2 = 0.0192534
t = 0.312; x1 = 0.15174; x2 = 0.0191094
t = 0.314; x1 = 0.150558; x2 = 0.0189672
t = 0.316; x1 = 0.14939; x2 = 0.0188265
t = 0.318; x1 = 0.148237; x2 = 0.0186875
t = 0.32; x1 = 0.147096; x2 = 0.01855
t = 0.322; x1 = 0.145969; x2 = 0.0184142
t = 0.324; x1 = 0.144856; x2 = 0.0182798
t = 0.326; x1 = 0.143755; x2 = 0.018147
t = 0.328; x1 = 0.142667; x2 = 0.0180157
t = 0.33; x1 = 0.141591; x2 = 0.0178858
t = 0.332; x1 = 0.140528; x2 = 0.0177574
t = 0.334; x1 = 0.139477; x2 = 0.0176304
t = 0.336; x1 = 0.138438; x2 = 0.0175048
t = 0.338; x1 = 0.137411; x2 = 0.0173805
t = 0.34; x1 = 0.136395; x2 = 0.0172577
t = 0.342; x1 = 0.135391; x2 = 0.0171361
t = 0.344; x1 = 0.134398; x2 = 0.0170159
t = 0.346; x1 = 0.133416; x2 = 0.016897
t = 0.348; x1 = 0.132444; x2 = 0.0167793
t = 0.35; x1 = 0.131484; x2 = 0.0166629
t = 0.352; x1 = 0.130534; x2 = 0.0165478
t = 0.354; x1 = 0.129595; x2 = 0.0164338
t = 0.356; x1 = 0.128665; x2 = 0.0163211
t = 0.358; x1 = 0.127746; x2 = 0.0162095
t = 0.36; x1 = 0.126837; x2 = 0.0160992
t = 0.362; x1 = 0.125938; x2 = 0.0159899
t = 0.364; x1 = 0.125048; x2 = 0.0158818
t = 0.366; x1 = 0.124167; x2 = 0.0157748
t = 0.368; x1 = 0.123296; x2 = 0.0156689
t = 0.37; x1 = 0.122435; x2 = 0.0155641
t = 0.372; x1 = 0.121582; x2 = 0.0154603
t = 0.374; x1 = 0.120738; x2 = 0.0153576
t = 0.376; x1 = 0.119903; x2 = 0.0152559
t = 0.378; x1 = 0.119077; x2 = 0.0151553
t = 0.38; x1 = 0.118259; x2 = 0.0150556
t = 0.382; x1 = 0.11745; x2 = 0.014957
t = 0.384; x1 = 0.116649; x2 = 0.0148593
t = 0.386; x1 = 0.115856; x2 = 0.0147626
t = 0.388; x1 = 0.115071; x2 = 0.0146668
t = 0.39; x1 = 0.114295; x2 = 0.014572
t = 0.392; x1 = 0.113526; x2 = 0.0144781
t = 0.394; x1 = 0.112765; x2 = 0.0143851
t = 0.396; x1 = 0.112011; x2 = 0.014293
t = 0.398; x1 = 0.111265; x2 = 0.0142017
t = 0.4; x1 = 0.110526; x2 = 0.0141114
