t = 0.1622; x1 = 0.306423; x2 = 0.0374762
t = 0.1642; x1 = 0.303009; x2 = 0.0370742
t = 0.1662; x1 = 0.29965; x2 = 0.0366786
t = 0.1682; x1 = 0.296346; x2 = 0.0362892
t = 0.1702; x1 = 0.293095; x2 = 0.0359061
t = 0.1722; x1 = 0.289896; x2 = 0.0355291
t = 0.1742; x1 = 0.286748; x2 = 0.0351579
t = 0.1762; x1 = 0.28365; x2 = 0.0347926
t = 0.1782; x1 = 0.280602; x2 = 0.034433
t = 0.1802; x1 = 0.277602; x2 = 0.034079
t = 0.1822; x1 = 0.274649; x2 = 0.0337305
t = 0.1842; x1 = 0.271742; x2 = 0.0333874
t = 0.1862; x1 = 0.268881; x2 = 0.0330496
t = 0.1882; x1 = 0.266064; x2 = 0.032717
t = 0.1902; x1 = 0.263291; x2 = 0.0323894
t = 0.1922; x1 = 0.260561; x2 = 0.0320668
t = 0.1942; x1 = 0.257873; x2 = 0.0317491
t = 0.1962; x1 = 0.255227; x2 = 0.0314362
t = 0.1982; x1 = 0.25262; x2 = 0.031128
t = 0.2002; x1 = 0.250054; x2 = 0.0308244
t = 0.2022; x1 = 0.247526; x2 = 0.0305253
t = 0.2042; x1 = 0.245037; x2 = 0.0302307
t = 0.2062; x1 = 0.242584; x2 = 0.0299404
t = 0.2082; x1 = 0.240169; x2 = 0.0296544
t = 0.2102; x1 = 0.23779; x2 = 0.0293726
t = 0.2122; x1 = 0.235446; x2 = 0.0290949
t = 0.2142; x1 = 0.233137; x2 = 0.0288213
t = 0.2162; x1 = 0.230862; x2 = 0.0285516
t = 0.2182; x1 = 0.22862; x2 = 0.0282858
t = 0.2202; x1 = 0.226411; x2 = 0.0280238
t = 0.2222; x1 = 0.224234; x2 = 0.0277655
t = 0.2242; x1 = 0.222089; x2 = 0.0275109
t = 0.2262; x1 = 0.219974; x2 = 0.02726
t = 0.2282; x1 = 0.217891; x2 = 0.0270125
t = 0.2302; x1 = 0.215837; x2 = 0.0267686
